Date,Open,High,Low,Close,Adj Close,Volume
2022-06-24,26228.419922,26519.160156,26148.560547,26491.970703,26491.970703,72600000
2022-06-27,26741.800781,26938.429688,26665.439453,26871.269531,26871.269531,65800000
2022-06-28,26795.679688,27062.310547,26789.500000,27049.470703,27049.470703,73400000
2022-06-29,26814.230469,26858.679688,26687.470703,26804.599609,26804.599609,101100000
2022-06-30,26753.279297,26753.279297,26324.310547,26393.039063,26393.039063,86100000
2022-07-01,26460.710938,26531.240234,25841.750000,25935.619141,25935.619141,81700000
2022-07-04,26086.779297,26258.859375,25945.830078,26153.810547,26153.810547,68700000
2022-07-05,26386.230469,26532.509766,26294.839844,26423.470703,26423.470703,62800000
2022-07-06,26190.400391,26298.960938,26051.189453,26107.650391,26107.650391,89700000
2022-07-07,26280.939453,26533.650391,26136.990234,26490.529297,26490.529297,80700000
2022-07-08,26623.849609,26881.750000,26510.529297,26517.189453,26517.189453,89300000
2022-07-11,26892.730469,27062.169922,26710.589844,26812.300781,26812.300781,68500000
2022-07-12,26701.000000,26718.669922,26278.279297,26336.660156,26336.660156,64400000
2022-07-13,26403.789063,26543.070313,26389.099609,26478.769531,26478.769531,54100000
2022-07-14,26357.320313,26713.070313,26312.789063,26643.390625,26643.390625,60600000
2022-07-15,26736.080078,26857.769531,26571.380859,26788.470703,26788.470703,65500000
2022-07-19,27003.830078,27043.580078,26791.710938,26961.679688,26961.679688,59400000
2022-07-20,27295.949219,27692.849609,27295.949219,27680.259766,27680.259766,66700000
2022-07-21,27627.880859,27803.000000,27549.560547,27803.000000,27803.000000,56700000
2022-07-22,27773.140625,27952.250000,27701.250000,27914.660156,27914.660156,60100000
2022-07-25,27697.769531,27848.589844,27663.160156,27699.250000,27699.250000,46500000
2022-07-26,27682.199219,27715.779297,27538.390625,27655.210938,27655.210938,50000000
2022-07-27,27575.160156,27772.970703,27525.089844,27715.750000,27715.750000,51100000
2022-07-28,27909.150391,28015.679688,27651.990234,27815.480469,27815.480469,83500000
2022-07-29,27915.220703,28001.800781,27725.240234,27801.640625,27801.640625,79300000
2022-08-01,27813.820313,27993.349609,27751.589844,27993.349609,27993.349609,71900000
2022-08-02,27812.480469,27830.580078,27530.599609,27594.730469,27594.730469,71800000
2022-08-03,27673.000000,27837.630859,27634.650391,27741.900391,27741.900391,72300000
2022-08-04,27930.939453,28005.589844,27870.050781,27932.199219,27932.199219,83100000
2022-08-05,27915.060547,28190.039063,27910.220703,28175.869141,28175.869141,71300000
2022-08-08,28050.089844,28279.119141,28047.080078,28249.240234,28249.240234,66100000
2022-08-09,28236.839844,28257.339844,27966.910156,27999.960938,27999.960938,64900000
2022-08-10,27955.109375,27964.960938,27729.460938,27819.330078,27819.330078,59900000
2022-08-12,28251.740234,28546.980469,28207.859375,28546.980469,28546.980469,89600000
2022-08-15,28623.779297,28897.070313,28623.779297,28871.779297,28871.779297,53700000
2022-08-16,28829.529297,28928.160156,28752.880859,28868.910156,28868.910156,50100000
2022-08-17,28952.650391,29222.769531,28944.710938,29222.769531,29222.769531,66600000
2022-08-18,28957.400391,28999.640625,28846.519531,28942.140625,28942.140625,47400000
2022-08-19,29095.710938,29150.800781,28913.050781,28930.330078,28930.330078,48400000
2022-08-22,28654.070313,28828.210938,28586.359375,28794.500000,28794.500000,49200000
2022-08-23,28580.199219,28580.199219,28395.300781,28452.750000,28452.750000,55700000
2022-08-24,28481.339844,28515.609375,28282.210938,28313.470703,28313.470703,62000000
2022-08-25,28415.109375,28534.710938,28357.029297,28479.009766,28479.009766,53700000
