Date,Open,High,Low,Close,Adj Close,Volume
2022-06-23,11622.089844,11729.620117,11515.480469,11697.679688,11697.679688,5258200000
2022-06-24,11826.950195,12112.820313,11812.179688,12105.849609,12105.849609,9468130000
2022-06-27,12157.929688,12175.980469,11965.669922,12008.240234,12008.240234,5047860000
2022-06-28,12021.339844,12133.870117,11633.129883,11637.769531,11637.769531,5433220000
2022-06-29,11619.009766,11710.209961,11537.719727,11658.259766,11658.259766,5650860000
2022-06-30,11532.320313,11650.959961,11322.860352,11503.719727,11503.719727,5654520000
2022-07-01,11472.629883,11592.849609,11378.629883,11585.679688,11585.679688,4865730000
2022-07-05,11419.339844,11781.740234,11366.070313,11779.900391,11779.900391,5053570000
2022-07-06,11807.080078,11941.309570,11727.360352,11852.589844,11852.589844,4851170000
2022-07-07,11913.730469,12137.709961,11897.509766,12109.049805,12109.049805,4685050000
2022-07-08,11977.950195,12179.320313,11956.030273,12125.690430,12125.690430,4526570000
2022-07-11,12008.759766,12026.059570,11830.889648,11860.280273,11860.280273,4362910000
2022-07-12,11926.839844,11990.440430,11684.019531,11744.990234,11744.990234,4317860000
2022-07-13,11523.910156,11819.690430,11498.959961,11728.530273,11728.530273,4433060000
2022-07-14,11637.179688,11801.110352,11488.269531,11768.400391,11768.400391,4481070000
2022-07-15,11896.150391,11987.519531,11828.129883,11983.620117,11983.620117,4369060000
2022-07-18,12089.679688,12156.089844,11836.519531,11877.500000,11877.500000,5057920000
2022-07-19,12046.690430,12258.370117,11967.919922,12249.419922,12249.419922,5302740000
2022-07-20,12269.070313,12488.389648,12232.200195,12439.679688,12439.679688,5467080000
2022-07-21,12466.129883,12620.500000,12351.419922,12619.410156,12619.410156,4680930000
2022-07-22,12575.759766,12662.860352,12322.820313,12396.469727,12396.469727,4721880000
2022-07-25,12391.209961,12415.589844,12244.400391,12328.410156,12328.410156,4346520000
2022-07-26,12248.209961,12259.009766,12051.209961,12086.900391,12086.900391,4349760000
2022-07-27,12299.339844,12660.769531,12256.940430,12601.469727,12601.469727,4588480000
2022-07-28,12580.610352,12741.830078,12433.549805,12717.870117,12717.870117,4924950000
2022-07-29,12784.200195,12986.639648,12726.250000,12947.969727,12947.969727,4907410000
2022-08-01,12877.040039,13084.610352,12833.160156,12940.780273,12940.780273,4396390000
2022-08-02,12853.040039,13073.269531,12809.009766,12901.599609,12901.599609,4792140000
2022-08-03,12983.580078,13289.190430,12974.849609,13253.259766,13253.259766,5667990000
2022-08-04,13253.769531,13326.719727,13170.440430,13311.040039,13311.040039,5451470000
2022-08-05,13107.450195,13286.019531,13070.360352,13207.690430,13207.690430,4911300000
2022-08-08,13227.089844,13394.540039,13103.799805,13159.160156,13159.160156,5238600000
2022-08-09,13064.240234,13095.700195,12945.599609,13008.169922,13008.169922,5307340000
2022-08-10,13330.660156,13386.849609,13220.049805,13378.320313,13378.320313,5196210000
2022-08-11,13471.030273,13555.379883,13271.349609,13291.990234,13291.990234,5815960000
2022-08-12,13384.650391,13565.870117,13341.650391,13565.870117,13565.870117,4782610000
2022-08-15,13529.660156,13685.650391,13524.530273,13667.179688,13667.179688,4476040000
2022-08-16,13617.660156,13720.910156,13508.469727,13635.209961,13635.209961,5028410000
2022-08-17,13499.240234,13591.580078,13389.820313,13470.860352,13470.860352,5229520000
